Name,Number,Full_Name,Number_of_GenEd,Gen_Ed_1,Gen_Ed_2
CMPL,269,Springtime for Hitler: Jews on Stage from Shakespeare to Mel Brooks,0,,
CMPL,232,"Imagining the City in Modern Korea: Text, Image, Space",1,FC-GLOBAL or FC-PAST,
CMPL,237,"Rebel, Lover, Martyr: Gender and Sexuality in North and South Korean Screen Cultures",1,FC-AESTH or FC-POWER,
CMPL,246,Body Politics in Modern Korean Literature,1,FC-AESTH or FC-POWER,
CMPL,246H,Body Politics in Modern Korean Literature,1,FC-AESTH or FC-POWER,
CMPL,395,"Research, Creativity, and Innovation in the Humanities",0,,
CMPL,395H,"Research, Creativity, and Innovation in the Humanities",0,,
CMPL,288,Graphic Medicine: The Intersection of Health and Comics,0,,
CMPL,62,Curiosity and the Birth of the Imagination,1,FC-AESTH,
CMPL,489H,Empire and Diplomacy,0,,
CMPL,263,European Exile Cinema,1,FC-AESTH,
CMPL,317H,"Myth, Fable, Novella: The Long History of the Short Story",1,FC-AESTH,
CMPL,238,From Martial Arts to Street Dance: Rebellion with Chinese Characteristics,1,FC-AESTH or FC-VALUES,
CMPL,480,Queering China,1,FC-AESTH or FC-POWER,
CMPL,247,Indigenous Spiritualities in Literatures of China and Taiwan,1,FC-AESTH or FC-VALUES,
CMPL,247H,Indigenous Spiritualities in Literatures of China and Taiwan,1,FC-AESTH or FC-VALUES,
COMM,330,Introduction to Writing for Film and Television,0,,
COMM,432,Visual Culture,0,,
COMM,431,Advanced Audio Production,1,FC-CREATE,
COMM,160,Introduction to Performance Studies,1,FC-KNOWING,
COMM,433,Intermediate Screenwriting,0,,
COMM,131,Writing for the Screen and Stage,0,,
COMM,223,Small Group Communication,1,FC-VALUES,
COMM,224,Introduction to Gender and Communication,0,,
COMM,312,Persuasion,0,,
COMM,396,Independent Study and Directed Research,0,,
COMM,390,Special Topics in Communication Study,0,,
COMM,374,The Southern Experience in Rhetoric,0,,
COMM,466,Advanced Study in Performing Literature,1,FC-CREATE or FC-KNOWING,
COMM,464,Collaborative Performance,1,FC-AESTH,
COMM,230,Audio/Video/Film Production and Writing,0,,
COMM,393,Internships,0,,
COMM,454,Media and Activism,0,,
COMM,450,Media and Popular Culture,1,FC-KNOWING,
COMM,113,Public Speaking,0,,
COMM,171,Argumentation and Debate,0,,
COMM,372,The Rhetoric of Social Movements,0,,
COMM,260,Introduction to Performance and Social Change,0,,
COMM,170,Rhetoric and Public Issues,1,FC-VALUES,
COMM,120,Introduction to Interpersonal and Organizational Communication,0,,
COMM,470,Political Communication and the Public Sphere,0,,
COMM,140,"Introduction to Media History, Theory, and Criticism",0,,
COMM,422,Family Communication,1,FC-KNOWING,
COMM,375,Environmental Advocacy,0,,
COMM,100,Communication and Social Process,0,,
COMM,318,Cultural Diversity,1,FC-POWER,
COMM,130,Introduction to Media Production,1,FC-CREATE,
COMM,142,Popular Music,1,FC-AESTH,
COMM,325,Introduction to Organizational Communication,1,FC-KNOWING,
COMM,350,Practices of Cultural Studies,1,FC-KNOWING or FC-POWER,
COMM,345,Gender and Film,1,FC-AESTH or FC-KNOWING,
COMM,51,First-Year Seminar: Organizing and Communicating for Social Entrepreneurs,0,,
COMM,61,First-Year Seminar: The Politics of Performance,1,FC-CREATE or FC-POWER,
COMM,62,First-Year Seminar: African American Literature and Performance,1,FC-AESTH,
COMM,63,First-Year Seminar: The Creative Process in Performance,0,,
COMM,82,First-Year Seminar: Food Politics from an Organizational Communication Perspective,1,FC-POWER,
COMM,490,Special Topics in Communication Studies,0,,
COMM,85,"First-Year Seminar: Think, Speak, Argue",0,,
COMM,224H,Introduction to Gender and Communication,0,,
COMM,89,First-Year Seminar: Special Topics,0,,
COMM,160H,Introduction to Performance Studies,1,FC-KNOWING,
COMM,249,"Introduction to Communication Technology, Culture, and Society",0,,
COMM,251,"Introduction to American Film and Culture, 1965-Present",0,,
COMM,262,Introduction to the Performance of Culture,0,,
COMM,263,Performing Literature,1,FC-AESTH or FC-CREATE,
COMM,412,Critical Theory,1,FC-KNOWING,
COMM,435,Memory Acts,0,,
COMM,435H,Memory Acts,0,,
COMM,437,United States Black Culture and Performance,1,FC-AESTH,
COMM,471,Rhetorics of Public Memory,0,,
COMM,53,First-Year Seminar: Collective Leadership Models for Community Change,0,,
COMM,89H,First-Year Seminar: Special Topics,0,,
COMM,150,Introduction to New Media,1,FC-AESTH or FC-CREATE,
COMM,500,Visual and Material Rhetoric,0,,
COMM,355,Terrorism and Political Violence,0,,
COMM,371,Argumentation,0,,
COMM,472,Rhetorical Criticism,0,,
COMM,464H,Collaborative Performance,1,FC-AESTH,
COMM,331,Writing the Short Film,0,,
COMM,430,History of American Screenwriting,1,FC-AESTH or FC-PAST,
COMM,334,Writing the One-Hour TV Drama,0,,
COMM,423,"Critical Perspectives on Work, Labor, and Professional Life",0,,
COMM,335,Film Story Analysis,1,FC-AESTH,
COMM,325H,Introduction to Organizational Communication,1,FC-KNOWING,
COMM,86,First-Year Seminar: Surveillance and Society,0,,
COMM,57,First-Year Seminar: Is There Life after College?: The Meaning of Work in Contemporary Life,0,,
COMM,73,First-Year Seminar: Understanding Place through Rhetoric,0,,
COMM,463,Creating the Solo Performance,0,,
COMM,453,The History of New Media Technology in Everyday Life,1,FC-KNOWING,
COMM,120H,Introduction to Interpersonal and Organizational Communication,0,,
COMM,422H,Family Communication,1,FC-KNOWING,
COMM,83,First-Year Seminar: Networked Societies,1,FC-POWER,
COMM,88,First-Year Seminar: Technologies of Popular Culture,0,,
COMM,262H,Introduction to the Performance of Culture,0,,
COMM,386,Dance and Embodied Knowledge in the Indian Context,0,,
COMM,263H,Performing Literature,1,FC-AESTH or FC-CREATE,
COMM,387,"Disciplining the Body and Mind: The Martial Arts of East Asia in Religion, History, and Culture",1,FC-GLOBAL or FC-KNOWING,
COMM,337,Visual Storytelling for Screenwriters,1,FC-AESTH or FC-CREATE,
COMM,360,Social Media and Society,1,FC-POWER,
COMM,499,The Dark Side of Interpersonal Communication,1,FC-KNOWING,
COMM,84,"First-Year Seminar: Make A Zine! Do-It-Yourself Writing, Publishing, and Distribution",1,FC-CREATE,
COMM,455,Sound Studies,0,,
COMM,75,First-Year Seminar: Researching Society and Culture,0,,
COMM,348,Algorithms and Society,1,FC-POWER,
COMP,421,Files and Databases,0,,
COMP,116,Introduction to Scientific Programming,0,,
COMP,411,Computer Organization,0,,
COMP,426,Modern Web Programming,0,,
COMP,401,Foundation of Programming,0,,
COMP,380,"Technology, Ethics, & Culture",1,FC-VALUES,
COMP,227,Effective Peer Teaching in Computer Science,0,,
COMP,410,Data Structures,0,,
COMP,455,Models of Languages and Computation,0,,
COMP,110,Introduction to Programming and Data Science,1,FC-QUANT,
COMP,496,Independent Study in Computer Science,0,,
COMP,101,Fluency in Information Technology,0,,
COMP,486,Applications of Natural Language Processing,0,,
COMP,487,Information Retrieval,0,,
COMP,431,Internet Services and Protocols,0,,
COMP,50,First-Year Seminar: Everyday Computing,0,,
COMP,60,First-Year Seminar: Robotics with LEGO®,0,,
COMP,65,"First-Year Seminar: Folding, from Paper to Proteins",0,,
COMP,80,First-Year Seminar: Enabling Technology--Computers Helping People,0,,
COMP,89,First -Year Seminar: Special Topics,0,,
COMP,393,Software Engineering Practicum,0,,
COMP,185,Serious Games,0,,
COMP,190,Topics in Computing,0,,
COMP,222,ACM Programming Competition Practice,0,,
COMP,290,Special Topics in Computer Science,0,,
COMP,390,Computer Science Elective Topics,0,,
COMP,180,Enabling Technologies,0,,
COMP,388,Advanced Cyberculture Studies,0,,
COMP,85,First-Year Seminar: The Business of Games,0,,
COMP,283,Discrete Structures,1,FC-QUANT,
COMP,85H,First-Year Seminar: The Business of Games,0,,
COMP,495,Mentored Research in Computer Science,0,,
COMP,380H,"Technology, Ethics, & Culture",1,FC-VALUES,
COMP,180H,Enabling Technologies,0,,
COMP,185H,Serious Games,0,,
COMP,80H,First-Year Seminar: Enabling Technology--Computers Helping People,0,,
COMP,60H,First-Year Seminar: Robotics with LEGO®,0,,
COMP,293,Internship in Computer Science,0,,
COMP,89H,First -Year Seminar: Special Topics,0,,
COMP,110H,Introduction to Programming and Data Science,1,FC-QUANT,
COMP,401H,Foundation of Programming,0,,
COMP,50H,First-Year Seminar: Everyday Computing,0,,
COMP,126,Practical Web Design and Development for Everyone,1,FC-CREATE,
COMP,475,2D Computer Graphics,0,,
COMP,435,Computer Security Concepts,0,,
COMP,325,How to Build a Software Startup,0,,
COMP,433,Mobile Computing Systems,0,,
COMP,65H,"First-Year Seminar: Folding, from Paper to Proteins",0,,
COMP,447,Quantum Computing,0,,
COMP,488,Data Science in the Business World,0,,
COMP,210,Data Structures and Analysis,0,,
COMP,211,Systems Fundamentals,0,,
COMP,311,Computer Organization,0,,
COMP,301,Foundations of Programming,0,,
COMP,283H,Discrete Structures,1,FC-QUANT,
CZCH,401,Elementary Czech I,0,,
CZCH,402,Elementary Czech II,0,,
CZCH,403,Intermediate Czech I,0,,
CZCH,404,Intermediate Czech II,0,,
CZCH,405,Advanced Czech I,0,,
CZCH,406,Advanced Czech II,0,,
CZCH,411,Introduction to Czech Literature,0,,
CZCH,490,Topics in Czech Culture,0,,
CZCH,469,Milan Kundera and World Literature,1,FC-AESTH,
CZCH,280,Closely Watched Trains: Czech Film and Literature,0,,
DHYG,252,Dental Radiology,0,,
DHYG,241,Nutrition,0,,
DHYG,253,"Dental Embryology, Histology, and Anatomy",0,,
DHYG,251,Survey of Physiology,0,,
DHYG,257,Introduction to Dental Hygiene,0,,
DHYG,261,Dental Pharmacology,0,,
DHYG,262,Dental Health Education,0,,
DHYG,263,Periodontology,0,,
DHYG,267,Dental Hygiene Theory I,0,,
DHYG,265,Dental Materials,0,,
DHYG,351,General and Oral Pathology,0,,
DHYG,352,Community Dental Health,0,,
DHYG,357,Dental Hygiene Theory II,0,,
DHYG,401,Oral Microbiology,0,,
DHYG,405,D/PUB HLTH ORG-ADM,0,,
DHYG,493,Hospital Dentistry Administration and Practice,0,,
DHYG,407,ORAL BIOL,0,,
DHYG,408,CONCEPTS IN PED DEN,0,,
DHYG,403,Current Concepts in Periodontics,0,,
DHYG,362,Community Dental Health Internship,0,,
DHYG,367,Dental Hygiene Theory III,0,,
DHYG,412,DENTAL CONSUMER,0,,
DHYG,393,Dental Hygiene Specialty Practicum,0,,
DHYG,413,PREVENTIVE DENT,0,,
DHYG,414,Radiographic Interpretation,0,,
DHYG,415,Advanced Clinical Dental Hygiene,0,,
DHYG,416,NURT CARE FOR HAND,0,,
DHYG,409,GERIATRIC DENT,0,,
DHYG,402,Special Care in Dentistry,0,,
DHYG,257L,Preclinical Dental Hygiene,0,,
DHYG,267L,Dental Hygiene Clinic I,0,,
DHYG,363,Dental Ethics and Jurisprudence,0,,
DHYG,411,Death and Dying During Life's Experience,0,,
DHYG,417,Introduction to Dental Office Management,0,,
DHYG,390,Current Topics in Dental Hygiene,0,,
DHYG,495,Research Methodology,0,,
DHYG,421,INTRO TO CLIN TEACH,0,,
DHYG,264,Histology,0,,
DHYG,422,Dental Hygiene Service Learning,0,,
DHYG,423,Community-Based Dental Hygiene Service Learning,0,,
DHYG,490,Special Topics,0,,
DHYG,427,Understanding Complementary and Alternative Therapies in Health Care,0,,
DHYG,424,Educational Foundations and Theory,0,,
DHYG,357L,Dental Hygiene Clinic II,0,,
DHYG,237,Medical Emergencies in the Dental Office,0,,
DHYG,367L,Dental Hygiene Clinic III,0,,
DHYG,236,Infection Control,0,,
DHYG,377,Dental Hygiene Theory IV,0,,
DHYG,377L,Dental Hygiene Clinic IV,0,,
DHYG,269,Ethics and Professionalism,0,,
DHYG,379,Dental Ethics and Jurisprudence,0,,
DRAM,265,Stage Makeup,1,FC-CREATE,
DRAM,140,Voice Training I,0,,
DRAM,191,Technical Methods: Scenery,1,FC-CREATE,
DRAM,196,Dramatic Art Projects,0,,
DRAM,160,Stagecraft,0,,
DRAM,493,Theatre Management,0,,
DRAM,231,Playwriting I,0,,
DRAM,255,Movement for the Actor II,0,,
DRAM,131,Writing for the Screen and Stage,0,,
DRAM,484,Studies in Dramaturgy and Criticism,0,,
DRAM,466,Scene Design,1,FC-AESTH or FC-CREATE,
DRAM,250,Intermediate Acting for the Major,0,,
DRAM,240,Voice Training II,0,,
DRAM,300,Directing,1,FC-AESTH or FC-CREATE,
DRAM,290,Special Topics in Dramatic Art,0,,
DRAM,150,Beginning Acting for the Major,1,FC-CREATE,
DRAM,155,Movement for the Actor,0,,
DRAM,467,Costume Design I,1,FC-AESTH or FC-CREATE,
DRAM,468,Lighting Design I,1,FC-CREATE,
DRAM,115,Perspectives in Drama,1,FC-AESTH,
DRAM,80,First-Year Seminar: Psychology of Clothes: Motivations for Dressing Up and Dressing Down,1,FC-GLOBAL,
DRAM,282,Theatre History and Literature II,1,FC-AESTH or FC-PAST,
DRAM,281,Theatre History and Literature I,1,FC-AESTH or FC-PAST,
DRAM,331,Playwriting II,0,,
DRAM,292,"""Corner of the Sky"": The American Musical",1,FC-AESTH,
DRAM,470,Survey of Costume History,0,,
DRAM,393,Professional Theatre Laboratory,0,,
DRAM,277,Introduction to Theatrical Design,1,FC-AESTH or FC-CREATE,
DRAM,350,Advanced Acting for the Major,1,FC-AESTH,
DRAM,460,Stage Management,0,,
DRAM,245,Acting for the Camera,1,FC-CREATE,
DRAM,193,Production Practicum,0,,
DRAM,116,Perspectives in the Theatre: Page to Stage,1,FC-AESTH,
DRAM,120,Play Analysis,1,FC-AESTH,
DRAM,284,Studies in Dramatic Theory and Criticism,0,,
DRAM,283,Theatre History and Literature III,1,FC-AESTH,
DRAM,473,Costume Construction I,0,,
DRAM,474,Costume Construction II,0,,
DRAM,115H,Perspectives in Drama,1,FC-AESTH,
DRAM,85,First-Year Seminar: Documentary Theatre,0,,
DRAM,470H,Survey of Costume History,0,,
DRAM,486,Latin American Theatre,1,FC-AESTH or FC-GLOBAL,
DRAM,465,Sound Design,1,FC-CREATE,
DRAM,491,Issues in Arts Management,0,,
DRAM,192,Technical Methods: Costume,0,,
DRAM,480,Period Styles for Production,0,,
DRAM,117,Perspectives in World Drama,0,,
DRAM,116H,Perspectives in the Theatre: Page to Stage,1,FC-AESTH,
DRAM,120H,Play Analysis,1,FC-AESTH,
DRAM,284H,Studies in Dramatic Theory and Criticism,0,,
DRAM,81,First-Year Seminar: Staging America: The American Drama,1,FC-AESTH,
DRAM,134,Theatrical Auditions,0,,
DRAM,135,Acting for Nonmajors,1,FC-CREATE,
DRAM,260,Advanced Stagecraft,1,FC-CREATE,
DRAM,285,Modern British Drama,1,FC-AESTH,
DRAM,287,African American Theatre,1,FC-AESTH,
DRAM,488,United States Latino/a Theatre,1,FC-AESTH or FC-POWER,
DRAM,83,First-Year Seminar: Spectacle in the Theatre,1,FC-CREATE,
DRAM,89,First Year Seminar:  Special Topics,0,,
DRAM,288,Theatre for Social Change,1,FC-POWER,
DRAM,87,First-Year Seminar: Style: A Mode of Expression,0,,
DRAM,85H,First-Year Seminar: Documentary Theatre,0,,
DRAM,87H,First-Year Seminar: Style: A Mode of Expression,0,,
DRAM,117H,Perspectives in World Drama,0,,
DRAM,170,The Playful Actor: Theatre Games and Improvisation,0,,
DRAM,80H,First-Year Seminar: Psychology of Clothes: Motivations for Dressing Up and Dressing Down,1,FC-GLOBAL,
DRAM,81H,First-Year Seminar: Staging America: The American Drama,1,FC-AESTH,
DRAM,285H,Modern British Drama,1,FC-AESTH,
DRAM,294,Arts Criticism,0,,
DRAM,279,Introduction to Theatre Management,0,,
DRAM,79,"First-Year Seminar: The Heart of the Play: Fundamentals of Acting, Playwriting, and Collaboration",1,FC-CREATE,
DRAM,154,Performers' Awareness,0,,
DRAM,144,Acting the Song,0,,
DRAM,156,"Physical Comedy, Farce Techniques, and Clown",0,,
DRAM,220,Theatre Histories,1,FC-AESTH,
DRAM,230,Theatre of the Word,0,,
DRAM,151,Introduction to the American Stage Musical,1,FC-AESTH,
DTCH,402,Elementary Dutch,0,,
DTCH,403,Intermediate Dutch,0,,
DTCH,404,Advanced Intermediate Dutch,0,,
DTCH,405,Topics in Dutch Culture: A Literary Survey,0,,
DTCH,396,Independent Readings in Dutch,0,,
DTCH,275,Rising Fortunes and Rising Tides: The Dutch Golden Age and its Legacy,0,,
ECON,440,Analysis of Public Finance,0,,
ECON,400,Introduction to Data Science and Econometrics,1,FC-QUANT,
ECON,480,Labor Economics,0,,
ECON,423,Financial Markets and Economic Fluctuations,0,,
ECON,330,Economic History of the United States,0,,
ECON,465,Economic Development,1,FC-GLOBAL,
ECON,345,Public Policy Toward Business,1,FC-KNOWING,
ECON,420,Intermediate Macroeconomics,0,,
ECON,380,The Economics of Labor Relations,0,,
ECON,460,International Economics,1,FC-GLOBAL,
ECON,420H,Intermediate Macroeconomics,0,,
ECON,425,Financial Economics,0,,
ECON,434,History of Economic Doctrines,0,,
ECON,490,Special Topics,0,,
ECON,445,Industrial Organization,0,,
ECON,320,Macroeconomics: Theory and Policy,0,,
ECON,468,"Socialism, Planning, and the Contemporary Russian Economy",0,,
ECON,450,Health Economics: Problems and Policy,0,,
ECON,100,Economic Principles,1,FC-KNOWING,
ECON,101,Introduction to Economics,1,FC-KNOWING,
ECON,101H,Introduction to Economics,1,FC-KNOWING,
ECON,310,Microeconomics: Theory and Applications,0,,
ECON,410,Intermediate Microeconomics,1,FC-KNOWING,
ECON,461,European Economic Integration,0,,
ECON,410H,Intermediate Microeconomics,1,FC-KNOWING,
ECON,469,Asian Economic Systems,1,FC-GLOBAL,
ECON,360,Survey of International and Development Economics,0,,
ECON,384,"Gateway to Philosophy, Politics, and Economics",1,FC-VALUES,
ECON,325,"Entrepreneurship: Principles, Concepts, Frameworks, and Fluency",0,,
ECON,393,Practicum in Entrepreneurship,0,,
ECON,326,Social Entrepreneurship,0,,
ECON,54,First-Year Seminar: The Entrepreneurial Imagination: Turning Ideas into Reality,0,,
ECON,395,Research Course,0,,
ECON,396,Independent Study,0,,
ECON,495,Research Course,0,,
ECON,55,First-Year Seminar: Economics of Sports,1,FC-KNOWING,
ECON,327,Venture-Creation Workshop,0,,
ECON,89,First Year Seminar:  Special Topics,0,,
ECON,56,First-Year Seminar: Entrepreneurship: Asia and the West,0,,
ECON,400H,Introduction to Data Science and Econometrics,1,FC-QUANT,
ECON,57H,First-Year Seminar: Constructing Your Own Venture,0,,
ECON,89H,First Year Seminar:  Special Topics,0,,
ECON,291,Undergraduate Learning Assistant Seminar and Practicum,0,,
ECON,423H,Financial Markets and Economic Fluctuations,0,,
ECON,293,Internship,0,,
ECON,485,Economics of Sports,0,,
ECON,125,Introduction to Entrepreneurship,1,FC-CREATE,
ECON,455,Environmental Economic Theory,0,,
ECON,390,Special Topics,0,,
ECON,496,Independent Study,0,,
ECON,486,Gender and Economics,1,FC-POWER,
ECON,58,First-Year Seminar: Researching the Tools for Success in College,0,,
ECON,360H,Survey of International and Development Economics,0,,
ECON,325H,"Entrepreneurship: Principles, Concepts, Frameworks, and Fluency",0,,
ECON,327H,Venture-Creation Workshop,0,,
ECON,493,Practicum in Quantitative Financial Economics,0,,
ECON,393H,Practicum in Entrepreneurship,0,,
ECON,326H,Social Entrepreneurship,0,,
ECON,411,Game Theory,0,,
ECON,328,Arts Entrepreneurship,0,,
ECON,470,Econometrics,1,FC-QUANT,
ECON,470H,Econometrics,1,FC-QUANT,
ECON,111,The Economics of Entrepreneurship and Innovation,1,FC-KNOWING,
ECON,415,Market Failures,0,,
ECON,55H,First-Year Seminar: Economics of Sports,1,FC-KNOWING,
ECON,362,Exploring Economies,1,FC-GLOBAL,
ECON,416,Behavioral Economics,0,,
ECON,290,Special Topics,0,,
ECON,125H,Introduction to Entrepreneurship,1,FC-CREATE,
ECON,292,Career Preparation for Economics Majors,0,,
ECON,452,Economics of Global Pandemics,0,,
ECON,58H,First-Year Seminar: Researching the Tools for Success in College,0,,
ECON,384H,"Gateway to Philosophy, Politics, and Economics",1,FC-VALUES,
ECON,370,Economic Applications of Data Science,0,,
ECON,436,Urban Economics,0,,
ECON,394,Advanced Entrepreneurship Practicum,0,,
EDUC,441,Education in American Society,0,,
EDUC,405,Parenting and Family Life Education,0,,
EDUC,250,Risk and Resiliency: Challenges and Opportunities in Education,0,,
EDUC,65,First-Year Seminar: School Daze: What's School Got to do with Getting an Education?,0,,
EDUC,390,Special Topics in Education,0,,
EDUC,190,Special Topics in Education,0,,
EDUC,320,Navigating Education in Borderlands,1,FC-GLOBAL or FC-POWER,
EDUC,149,Experiential Education and Civic Identity,0,,
EDUC,413,Language and Literacy Learning,0,,
EDUC,464,Teaching Profession,0,,
EDUC,465,Introduction to Teaching,0,,
EDUC,466,Planning for Teaching in the Middle Grades,0,,
EDUC,400,Autism in Our Communities: An Interdisciplinary Perspective,0,,
EDUC,469,Developing Skills for Teaching,0,,
EDUC,121,Tutoring in the Schools I,0,,
EDUC,111,Career Exploration,0,,
EDUC,221,Tutoring in the Schools III,0,,
EDUC,222,Tutoring in the Schools IV,0,,
EDUC,330,The Science of Learning,1,FC-KNOWING,
EDUC,122,Tutoring in the Schools II,0,,
EDUC,416,"Curriculum Integration: Science, Math, and Technology",0,,
EDUC,496,Independent Study,0,,
EDUC,401,Childhood Development: Prenatal Birth to Age 12,1,FC-KNOWING,
EDUC,402,Models of Early Childhood Service Delivery,0,,
EDUC,403,"Individuals, Families, and Communities in Diverse Contexts",0,,
EDUC,404,Infant/Toddler Assessment and Intervention,0,,
EDUC,421,Community Organizations and Children I,0,,
EDUC,422,Community Organizations and Children II,0,,
EDUC,309,Foundations of Leadership,0,,
EDUC,316,Advanced Leadership Development Seminar,0,,
EDUC,317,Dynamics of Effective Leadership,0,,
EDUC,318,Peer Leadership in the University Environment,0,,
EDUC,387,Peer Tutoring,0,,
EDUC,211,Career Planning and Job Searching,0,,
EDUC,231,The Science of Well-Being,1,FC-KNOWING,
EDUC,181,Introduction to Human Development and Family Science,1,FC-KNOWING,
EDUC,301,Junior Transfer Seminar - Thriving in Transition,0,,
EDUC,130,Navigating the Research University,0,,
EDUC,493,Practicum,0,,
EDUC,89,First-Year Seminar: Special Topics,0,,
EDUC,410,Families and Communities in Diverse Contexts for Youth,0,,
EDUC,408,Research Methods in Human Development,0,,
EDUC,101,First Year Thriving,0,,
EDUC,150,The Science of Learning (Intensive),0,,
EDUC,311,Life-Career Design,1,FC-KNOWING,
EDUC,349,Adulting,1,FC-KNOWING,
EDUC,375,Identity and Sexuality,1,FC-POWER,
EDUC,411,"Making Liberal Arts ""Work""",1,FC-KNOWING,
EDUC,230,Thriving After the First Year: Accessing High Impact Opportunities,0,,
EDUC,325,Introduction to Counseling and Coaching,0,,
EDUC,470,Therapeutic Value of Play,0,,
EDUC,475,Child and Family Health,0,,
EDUC,480,Resource Management for Individuals and Families,0,,
EDUC,461I,Exploring Social Determinants of Health Across Populations,0,,
EDUC,415,Schooling of Immigrant Children,0,,
EDUC,257,Inquiry and Data Applications,0,,
EDUC,357,Organizational and Community Development,0,,
EDUC,472,System Improvement and Implementation at Scale,0,,
EDUC,140,Sources of Strength Leadership,0,,
EMES,306,Earth Systems History,1,FC-NATSCI,
EMES,77,First-Year Seminar: Volcanoes and Civilization: An Uneasy Coexistence,0,,
EMES,101,Planet Earth,1,FC-NATSCI,
EMES,406,Introduction to Geophysics,0,,
EMES,405,Geochemistry,0,,
EMES,485,Summer Field Course in Geology,0,,
EMES,486,Summer Field Course in Geology,0,,
EMES,221,Geology of North America,0,,
EMES,421,Archaeological Geology,0,,
EMES,401,Oceanography,0,,
EMES,435,Principles of Environmental Consulting: Mechanics of Groundwater Flow,0,,
EMES,472,Barrier Island Ecology and Geology,0,,
EMES,101L,Planet Earth Laboratory,1,FC-LAB,
EMES,417,Surface Processes and Landscape Evolution,0,,
EMES,390,"Special Topics in Earth, Marine, and Environmental Sciences",0,,
EMES,201,"Earth's Surface: Processes, Landforms, and History",1,FC-NATSCI,
EMES,444,Marine Phytoplankton,0,,
EMES,301,Earth Materials: Minerals,0,,
EMES,304,Petrology and Plate Tectonics,0,,
EMES,302,Structural Geology,0,,
EMES,303,Sedimentology and Stratigraphy,0,,
EMES,436,Geochemistry of Natural Waters,0,,
EMES,414,Flood Hydrology: Models and Data Analysis,0,,
EMES,103,The Marine Environment,1,FC-NATSCI,
EMES,422,Physics of the Earth's Interior,0,,
EMES,442,Marine Biology,0,,
EMES,305,Planetary Geology: Meteorites and Asteroids,0,,
EMES,410,Earth Processes in Environmental Systems,0,,
EMES,411,Oceanic Processes in Environmental Systems,0,,
EMES,450,Biogeochemical Processes,0,,
EMES,415,Environmental Systems Modeling,0,,
EMES,483,Geologic and Oceanographic Applications of Geographical Information Systems,0,,
EMES,51,"First-Year Seminar: Global Warming: Science, Social Impacts, Solutions",0,,
EMES,470,Estuarine and Coastal Marine Science,0,,
EMES,471,Human Impacts on Estuarine Ecosystems,0,,
EMES,438,Principles of Seismology,0,,
EMES,448,Coastal and Estuarine Ecology,0,,
EMES,432,Paleoclimatology,0,,
EMES,72H,First-Year Seminar: Field Geology of Eastern California,0,,
EMES,76,First-Year Seminar: Energy Resources for a Hungry Planet,0,,
EMES,52,First-Year Seminar: Living with Our Oceans and Atmosphere,0,,
EMES,53,First-Year Seminar: The Ends of the Earth: Polar Oceanography and Exploration,0,,
EMES,55,First-Year Seminar: Change in the Coastal Ocean,0,,
EMES,59,First-Year Seminar: Extreme Microorganisms: Pushing the Limits of Life on Earth and Beyond,0,,
EMES,490,"Special Topics in Earth, Marine, and Environmental Sciences for Undergraduates and Graduates",0,,
EMES,395,"Undergraduate Research in Earth, Marine, and Environmental Sciences",0,,
EMES,425,Introduction to Field Geology,0,,
EMES,89,First-Year Seminar: Special Topics,0,,
EMES,220,North Carolina Estuaries: Environmental Processes and Problems,0,,
EMES,412,Principles and Methods of Teaching Earth Science,0,,
EMES,314,Earth Systems in a Changing World,1,FC-NATSCI,
EMES,443,Marine Microbiology,0,,
EMES,431,Major World Rivers and Global Change: From Mountains to the Sea,0,,
EMES,460,Fluid Dynamics of the Environment,0,,
EMES,108,Climate and Energy Transitions: Understanding the Forecasts,0,,
EMES,352,Marine Fisheries Ecology,0,,
EMES,390H,"Special Topics in Earth, Marine, and Environmental Sciences",0,,
EMES,79,First-Year Seminar: Coasts in Crisis,0,,
EMES,190,"Special Topics in Earth, Marine, and Environmental Sciences at an Introductory Level",0,,
EMES,441,Marine Physiological Ecology,0,,
EMES,310,Coastal Environmental Change,0,,
EMES,396,"Independent Study in Earth, Marine, and Environmental Sciences",0,,
EMES,324,Water in Our World: Introduction to Hydrologic Science and Environmental Problems,1,FC-NATSCI,
EMES,324L,Water in Our World Laboratory,1,FC-LAB,
EMES,446,Marine Microbial Symbioses: Exploring How Microbial Interactions Affect Ecosystems and Human Health,0,,
EMES,433,Wetland Hydrology,0,,
EMES,200,The Solid Earth,1,FC-NATSCI,
EMES,447,Microbial Ecological Genomics,0,,
EMES,434,Blue Carbon and Coastal Environments,0,,
EMES,103L,The Marine Environment Laboratory,1,FC-LAB,
EMES,68,First-Year Seminar: Soundscape of Our Planet,0,,
EMES,320,Marine Life in a Fluid World,0,,
EMES,466,Environmental Microbiology,0,,
EMES,105,Natural Disasters: Hollywood versus Reality,2,FC-NATSCI,FC-LAB
EMES,203,"Data Analysis for Earth, Marine, and Environmental Sciences",1,FC-QUANT,
EMES,204,"The Microbial World:  Foundations in Structure, Metabolism, and Ecology",1,FC-NATSCI,
ENEC,470,Environmental Risk Assessment,0,,
ENEC,451,"Population, Development, and the Environment",1,FC-GLOBAL,
ENEC,435,Principles of Environmental Consulting: Mechanics of Groundwater Flow,0,,
ENEC,368,"Living Things, Wilderness, and Ecosystems: An Introduction to Environmental Ethics",1,FC-VALUES,
